year,dataset_name,data_table,data_table_description,nhgis_code,cell_description,staged_field
1990,1990_STF1,NP3,Households,EUO001,Total,households_total
1990,1990_STF1,NP6,Race,EUY001,White,white_population
1990,1990_STF1,NP6,Race,EUY002,Black,black_population
1990,1990_STF1,NP6,Race,EUY003,"American Indian, Eskimo, or Aleut",native_population
1990,1990_STF1,NP6,Race,EUY004,Asian or Pacific Islander,asian_pacific_islander_population
1990,1990_STF1,NP6,Race,EUY005,Other race,other_race_population
1990,1990_STF1,NP9,Hispanic Origin,EU1001,Not of Hispanic origin,non_hispanic_population
1990,1990_STF1,NP9,Hispanic Origin,EU1002,"Hispanic origin: Mexican",hispanic_any_race
1990,1990_STF1,NP9,Hispanic Origin,EU1003,"Hispanic origin: Puerto Rican",hispanic_any_race
1990,1990_STF1,NP9,Hispanic Origin,EU1004,"Hispanic origin: Cuban",hispanic_any_race
1990,1990_STF1,NP9,Hispanic Origin,EU1005,"Hispanic origin: Other Hispanic",hispanic_any_race
1990,1990_STF1,NH1,Housing Units,ESA001,Total,total_housing_units
1990,1990_STF1,NH3,Tenure,ES1001,Owner occupied,owner_occupied_units
1990,1990_STF1,NH3,Tenure,ES1002,Renter occupied,renter_occupied_units
1990,1990_STF1,NH5,Vacancy Status,ETQ001,For rent,vacant_units
1990,1990_STF1,NH5,Vacancy Status,ETQ002,For sale only,vacant_units
1990,1990_STF1,NH5,Vacancy Status,ETQ003,"Rented or sold, not occupied",vacant_units
1990,1990_STF1,NH5,Vacancy Status,ETQ004,"For seasonal, recreational, or occasional use",vacant_units
1990,1990_STF1,NH5,Vacancy Status,ETQ005,For migrant workers,vacant_units
1990,1990_STF1,NH5,Vacancy Status,ETQ006,Other vacant,vacant_units
1990,1990_STF1,NP28,Group Quarters,EUM001,Institutionalized persons: Correctional institutions,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM002,Institutionalized persons: Nursing homes,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM003,Institutionalized persons: Mental hospitals,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM004,Institutionalized persons: Juvenile institutions,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM005,Institutionalized persons: Other institutions,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM006,Other persons in group quarters: College dormitories,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM007,Other persons in group quarters: Military quarters,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM008,Other persons in group quarters: Emergency shelters for homeless,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM009,Other persons in group quarters: Visible in street locations,group_quarters_population
1990,1990_STF1,NP28,Group Quarters,EUM010,Other persons in group quarters: Other noninstitutional group quarters,group_quarters_population
1990,1990_STF3,NP80A,Median Household Income in 1989,E4U001,Median household income in 1989,median_household_income
1990,1990_STF3,NH20,Units in Structure,EX2001,"1, detached",structure_1unit_detached
1990,1990_STF3,NH20,Units in Structure,EX2002,"1, attached",structure_1unit_attached
1990,1990_STF3,NH20,Units in Structure,EX2003,2,structure_2_unit
1990,1990_STF3,NH20,Units in Structure,EX2004,"3 or 4",structure_3_4_unit
1990,1990_STF3,NH20,Units in Structure,EX2005,"5 to 9",structure_5plus_unit
1990,1990_STF3,NH20,Units in Structure,EX2006,"10 to 19",structure_5plus_unit
1990,1990_STF3,NH20,Units in Structure,EX2007,"20 to 49",structure_5plus_unit
1990,1990_STF3,NH20,Units in Structure,EX2008,"50 or more",structure_5plus_unit
1990,1990_STF3,NH20,Units in Structure,EX2009,"Mobile home or trailer",structure_mobile_home_other
1990,1990_STF3,NH20,Units in Structure,EX2010,Other,structure_other
