period,period_order,project_count,support_note,outcome_type,usability
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,action_category_split,usable
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,application_count,usable
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,approval_timing,not_recommended
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,bbl_fractional_geography,not_recommended
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,completion_timing,usable
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,status_outcome,usable
1980-1984,3,3552,cert_share=1; primary_cd_share=0.983; actions_share=0; ulurp_numbers_share=0.912; approval_date_share=0; bbl_standard_cd_share=0.36,action_category_split,usable
1980-1984,3,3552,cert_share=1; primary_cd_share=0.983; actions_share=0; ulurp_numbers_share=0.912; approval_date_share=0; bbl_standard_cd_share=0.36,application_count,usable
1980-1984,3,3552,cert_share=1; primary_cd_share=0.983; actions_share=0; ulurp_numbers_share=0.912; approval_date_share=0; bbl_standard_cd_share=0.36,approval_timing,not_recommended
1980-1984,3,3552,cert_share=1; primary_cd_share=0.983; actions_share=0; ulurp_numbers_share=0.912; approval_date_share=0; bbl_standard_cd_share=0.36,bbl_fractional_geography,not_recommended
1980-1984,3,3552,cert_share=1; primary_cd_share=0.983; actions_share=0; ulurp_numbers_share=0.912; approval_date_share=0; bbl_standard_cd_share=0.36,completion_timing,usable
1980-1984,3,3552,cert_share=1; primary_cd_share=0.983; actions_share=0; ulurp_numbers_share=0.912; approval_date_share=0; bbl_standard_cd_share=0.36,status_outcome,usable
1985-1989,4,2371,cert_share=1; primary_cd_share=0.989; actions_share=0; ulurp_numbers_share=0.868; approval_date_share=0; bbl_standard_cd_share=0.695,action_category_split,usable
1985-1989,4,2371,cert_share=1; primary_cd_share=0.989; actions_share=0; ulurp_numbers_share=0.868; approval_date_share=0; bbl_standard_cd_share=0.695,application_count,usable
1985-1989,4,2371,cert_share=1; primary_cd_share=0.989; actions_share=0; ulurp_numbers_share=0.868; approval_date_share=0; bbl_standard_cd_share=0.695,approval_timing,not_recommended
1985-1989,4,2371,cert_share=1; primary_cd_share=0.989; actions_share=0; ulurp_numbers_share=0.868; approval_date_share=0; bbl_standard_cd_share=0.695,bbl_fractional_geography,limited
1985-1989,4,2371,cert_share=1; primary_cd_share=0.989; actions_share=0; ulurp_numbers_share=0.868; approval_date_share=0; bbl_standard_cd_share=0.695,completion_timing,usable
1985-1989,4,2371,cert_share=1; primary_cd_share=0.989; actions_share=0; ulurp_numbers_share=0.868; approval_date_share=0; bbl_standard_cd_share=0.695,status_outcome,usable
1990-1999,5,2284,cert_share=1; primary_cd_share=0.996; actions_share=0; ulurp_numbers_share=0.777; approval_date_share=0; bbl_standard_cd_share=0.794,action_category_split,limited
1990-1999,5,2284,cert_share=1; primary_cd_share=0.996; actions_share=0; ulurp_numbers_share=0.777; approval_date_share=0; bbl_standard_cd_share=0.794,application_count,usable
