period,period_order,project_count,support_note,outcome_type,usability
1976-1979,2,1219,cert_share=1; primary_cd_share=0.965; actions_share=0; ulurp_numbers_share=0.928; approval_date_share=0; bbl_standard_cd_share=0.1,action_category_split,usable
1990-1999,5,2284,cert_share=1; primary_cd_share=0.996; actions_share=0; ulurp_numbers_share=0.777; approval_date_share=0; bbl_standard_cd_share=0.794,approval_timing,not_recommended
1990-1999,5,2284,cert_share=1; primary_cd_share=0.996; actions_share=0; ulurp_numbers_share=0.777; approval_date_share=0; bbl_standard_cd_share=0.794,bbl_fractional_geography,limited
1990-1999,5,2284,cert_share=1; primary_cd_share=0.996; actions_share=0; ulurp_numbers_share=0.777; approval_date_share=0; bbl_standard_cd_share=0.794,completion_timing,usable
1990-1999,5,2284,cert_share=1; primary_cd_share=0.996; actions_share=0; ulurp_numbers_share=0.777; approval_date_share=0; bbl_standard_cd_share=0.794,status_outcome,usable
2000-2009,6,1359,cert_share=1; primary_cd_share=0.973; actions_share=0.001; ulurp_numbers_share=0.873; approval_date_share=0; bbl_standard_cd_share=0.763,action_category_split,usable
2000-2009,6,1359,cert_share=1; primary_cd_share=0.973; actions_share=0.001; ulurp_numbers_share=0.873; approval_date_share=0; bbl_standard_cd_share=0.763,application_count,usable
2000-2009,6,1359,cert_share=1; primary_cd_share=0.973; actions_share=0.001; ulurp_numbers_share=0.873; approval_date_share=0; bbl_standard_cd_share=0.763,approval_timing,not_recommended
2000-2009,6,1359,cert_share=1; primary_cd_share=0.973; actions_share=0.001; ulurp_numbers_share=0.873; approval_date_share=0; bbl_standard_cd_share=0.763,bbl_fractional_geography,limited
2000-2009,6,1359,cert_share=1; primary_cd_share=0.973; actions_share=0.001; ulurp_numbers_share=0.873; approval_date_share=0; bbl_standard_cd_share=0.763,completion_timing,usable
2000-2009,6,1359,cert_share=1; primary_cd_share=0.973; actions_share=0.001; ulurp_numbers_share=0.873; approval_date_share=0; bbl_standard_cd_share=0.763,status_outcome,usable
2010-2019,7,775,cert_share=1; primary_cd_share=0.992; actions_share=0.071; ulurp_numbers_share=0.905; approval_date_share=0; bbl_standard_cd_share=0.848,action_category_split,usable
2010-2019,7,775,cert_share=1; primary_cd_share=0.992; actions_share=0.071; ulurp_numbers_share=0.905; approval_date_share=0; bbl_standard_cd_share=0.848,application_count,usable
2010-2019,7,775,cert_share=1; primary_cd_share=0.992; actions_share=0.071; ulurp_numbers_share=0.905; approval_date_share=0; bbl_standard_cd_share=0.848,approval_timing,not_recommended
2010-2019,7,775,cert_share=1; primary_cd_share=0.992; actions_share=0.071; ulurp_numbers_share=0.905; approval_date_share=0; bbl_standard_cd_share=0.848,bbl_fractional_geography,usable
2010-2019,7,775,cert_share=1; primary_cd_share=0.992; actions_share=0.071; ulurp_numbers_share=0.905; approval_date_share=0; bbl_standard_cd_share=0.848,completion_timing,usable
2010-2019,7,775,cert_share=1; primary_cd_share=0.992; actions_share=0.071; ulurp_numbers_share=0.905; approval_date_share=0; bbl_standard_cd_share=0.848,status_outcome,usable
2020-2025,8,415,cert_share=1; primary_cd_share=0.995; actions_share=0.877; ulurp_numbers_share=0.925; approval_date_share=0.754; bbl_standard_cd_share=0.971,action_category_split,usable
2020-2025,8,415,cert_share=1; primary_cd_share=0.995; actions_share=0.877; ulurp_numbers_share=0.925; approval_date_share=0.754; bbl_standard_cd_share=0.971,application_count,usable
2020-2025,8,415,cert_share=1; primary_cd_share=0.995; actions_share=0.877; ulurp_numbers_share=0.925; approval_date_share=0.754; bbl_standard_cd_share=0.971,approval_timing,limited
2020-2025,8,415,cert_share=1; primary_cd_share=0.995; actions_share=0.877; ulurp_numbers_share=0.925; approval_date_share=0.754; bbl_standard_cd_share=0.971,bbl_fractional_geography,usable
2020-2025,8,415,cert_share=1; primary_cd_share=0.995; actions_share=0.877; ulurp_numbers_share=0.925; approval_date_share=0.754; bbl_standard_cd_share=0.971,completion_timing,limited
2020-2025,8,415,cert_share=1; primary_cd_share=0.995; actions_share=0.877; ulurp_numbers_share=0.925; approval_date_share=0.754; bbl_standard_cd_share=0.971,status_outcome,limited
