project_id,project_name,cert_year,queue_rank,disposition_id,disposition_name,recommendation_status,borough_president_recommendation,borough_board_recommendation,community_board_recommendation,docket_description,api_url,project_page_url
2019K0320,90 Sands Street,2019,325,aeb0d7ef-96fa-e911-a9b0-001dd8308d01,2019K0320 - ZM - BK CB2,Submitted,,,Favorable,"IN THE MATTER OF an application submitted by 90 Sands Street Housing Development Fund pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 12d: 1. changing from an M1-6 District to an M1-6/R10 District property bounded by the easterly centerline prolongation of Sands Street (narrow portion), Jay Street, High Street and Pearl Street; and 2. establishing a Special Mixed Use District (MX-2) bounded by the easterly centerline prolongation of Sands Street (narrow portion), Jay Street, High Street and Pearl Street; Borough of Brooklyn, Community District 2, as shown on a diagram (for illustrative purposes only) dated October 15, 2019.","https://zap-api-production.herokuapp.com/projects/2019K0320?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/2019K0320
2019K0320,90 Sands Street,2019,325,50a66b05-97fa-e911-a9ba-001dd8308fb0,2019K0320 - ZM - BKBP,Submitted,Favorable,,,"IN THE MATTER OF an application submitted by 90 Sands Street Housing Development Fund pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 12d: 1. changing from an M1-6 District to an M1-6/R10 District property bounded by the easterly centerline prolongation of Sands Street (narrow portion), Jay Street, High Street and Pearl Street; and 2. establishing a Special Mixed Use District (MX-2) bounded by the easterly centerline prolongation of Sands Street (narrow portion), Jay Street, High Street and Pearl Street; Borough of Brooklyn, Community District 2, as shown on a diagram (for illustrative purposes only) dated October 15, 2019.","https://zap-api-production.herokuapp.com/projects/2019K0320?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/2019K0320
P2017K0284,1510 Broadway,2019,329,40d94063-28ff-e911-a9a0-001dd8308022,P2017K0284 - HA - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by The Department of Housing Preservation and Development (HPD) 1) pursuant to Article 16 of the General Municipal Law of New York State for: a) the designation of property located at 1510 Broadway (Block 1489, Lot 11) as an Urban Development Action Area; and b) an Urban Development Action Area Project for such area; and 2) pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD; to facilitate a mixed-use development containing approximately 107 affordable residential units and commercial space, Borough of Brooklyn, Community District 16.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,59272662-28ff-e911-a9bc-001dd8308ef1,P2017K0284 - HA - BK CB16,Not Submitted,,,,"IN THE MATTER OF an application submitted by The Department of Housing Preservation and Development (HPD) 1) pursuant to Article 16 of the General Municipal Law of New York State for: a) the designation of property located at 1510 Broadway (Block 1489, Lot 11) as an Urban Development Action Area; and b) an Urban Development Action Area Project for such area; and 2) pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD; to facilitate a mixed-use development containing approximately 107 affordable residential units and commercial space, Borough of Brooklyn, Community District 16.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,3dd94063-28ff-e911-a9a0-001dd8308022,P2017K0284 - PQ - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by the Department of Citywide Administrative Services (DCAS), pursuant to Section 197-c of the New York City Charter, for the acquisition of property located at 1510 Broadway (Block 1489, p/o Lot 11) to facilitate transit infrastructure, Borough of Brooklyn, Community District 16.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,55272662-28ff-e911-a9bc-001dd8308ef1,P2017K0284 - PQ - BK CB16,Submitted,,,Favorable,"IN THE MATTER OF an application submitted by the Department of Citywide Administrative Services (DCAS), pursuant to Section 197-c of the New York City Charter, for the acquisition of property located at 1510 Broadway (Block 1489, p/o Lot 11) to facilitate transit infrastructure, Borough of Brooklyn, Community District 16.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,43d94063-28ff-e911-a9a0-001dd8308022,P2017K0284 - ZM - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by the Department of Housing Preservation and Development pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 17a: 1. eliminating from within an existing R6 District a C1-3 District bounded by the easterly centerline prolongation of Jefferson Avenue, Broadway, Hancock Street, and Saratoga Avenue; 2. changing from an R6 District to an R7-1 District property bounded by the easterly centerline prolongation of Jefferson Avenue, Broadway, Hancock Street, and Saratoga Avenue; and 3. establishing within the proposed R7-1 District a C2-4 District bounded by the easterly centerline prolongation of Jefferson Avenue, Broadway, Hancock Street, and Saratoga Avenue; Borough of Brooklyn, Community District 16, as shown on a diagram (for illustrative purposes only) dated December 2, 2019.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,5c272662-28ff-e911-a9bc-001dd8308ef1,P2017K0284 - ZM - BK CB16,Submitted,,,Favorable,"IN THE MATTER OF an application submitted by the Department of Housing Preservation and Development pursuant to Sections 197-c and 201 of the New York City Charter for the amendment of the Zoning Map, Section No. 17a: 1. eliminating from within an existing R6 District a C1-3 District bounded by the easterly centerline prolongation of Jefferson Avenue, Broadway, Hancock Street, and Saratoga Avenue; 2. changing from an R6 District to an R7-1 District property bounded by the easterly centerline prolongation of Jefferson Avenue, Broadway, Hancock Street, and Saratoga Avenue; and 3. establishing within the proposed R7-1 District a C2-4 District bounded by the easterly centerline prolongation of Jefferson Avenue, Broadway, Hancock Street, and Saratoga Avenue; Borough of Brooklyn, Community District 16, as shown on a diagram (for illustrative purposes only) dated December 2, 2019.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,31d94063-28ff-e911-a9a0-001dd8308022,P2017K0284 - ZR - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by the New York City Department of Housing Preservation and Development pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 16.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
P2017K0284,1510 Broadway,2019,329,4c272662-28ff-e911-a9bc-001dd8308ef1,P2017K0284 - ZR - BK CB16,Submitted,,,Favorable,"IN THE MATTER OF an application submitted by the New York City Department of Housing Preservation and Development pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Brooklyn, Community District 16.","https://zap-api-production.herokuapp.com/projects/P2017K0284?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0284
