project_id,project_name,cert_year,queue_rank,disposition_id,disposition_name,recommendation_status,borough_president_recommendation,borough_board_recommendation,community_board_recommendation,docket_description,api_url,project_page_url
P2017K0364,DeKalb Commons (NCP-NIHOP) (UDAAP),2019,330,7f949a66-4206-ea11-a99d-001dd830809a,P2017K0364 - HA - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by the Department of Housing Preservation and Development (HPD) 1) pursuant to Article 16 of the General Municipal Law of New York State for: a. the designation of property located at 633-639 DeKalb Avenue (Block 1774, Lots 74, 75, 76 and 77), 648-654 DeKalb Avenue (Block 1779, Lots 22, 24 and 26), 1187 Fulton Street (Block 2000, Lot 43) as an Urban Development Action Area; and b. Urban Development Action Area Project for such area; and 2) pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD; to facilitate development of three buildings containing an approximate total of 84 affordable residential units and commercial space.","https://zap-api-production.herokuapp.com/projects/P2017K0364?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0364
P2017K0364,DeKalb Commons (NCP-NIHOP) (UDAAP),2019,330,cf48cc5b-4206-ea11-a9bc-001dd8308ef1,P2017K0364 - HA - BK CB3,Submitted,,,Unfavorable,"IN THE MATTER OF an application submitted by the Department of Housing Preservation and Development (HPD) 1) pursuant to Article 16 of the General Municipal Law of New York State for: a. the designation of property located at 633-639 DeKalb Avenue (Block 1774, Lots 74, 75, 76 and 77), 648-654 DeKalb Avenue (Block 1779, Lots 22, 24 and 26), 1187 Fulton Street (Block 2000, Lot 43) as an Urban Development Action Area; and b. Urban Development Action Area Project for such area; and 2) pursuant to Section 197-c of the New York City Charter for the disposition of such property to a developer to be selected by HPD; to facilitate development of three buildings containing an approximate total of 84 affordable residential units and commercial space.","https://zap-api-production.herokuapp.com/projects/P2017K0364?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017K0364
P2018K0303,312 Coney Island Ave-Caton Place,2019,334,aca90e79-b800-ea11-a9b0-001dd8308d01,P2018K0303 - ZM - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by 312 Coney Island Avenue LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 16d: 1. changing from a C8-2 District to an R8A District property bounded by Ocean Parkway, Park Circle-Machate Circle, Coney Island Avenue, Caton Place, and a line 150 feet easterly of East 8th Street; and 2. establishing within the proposed R8A District a C2-4 District bounded by Ocean Parkway, Park Circle-Machate Circle, Coney Island Avenue, Caton Place, and a line 150 feet easterly of East 8th Street; as shown on a diagram (for illustrative purposes only) dated December 16, 2019, and subject to the conditions of CEQR Declaration E-555.","https://zap-api-production.herokuapp.com/projects/P2018K0303?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018K0303
P2018K0303,312 Coney Island Ave-Caton Place,2019,334,ac85d782-b800-ea11-a9bc-001dd8308ef1,P2018K0303 - ZM - BK CB7,Submitted,,,Conditional Unfavorable,"IN THE MATTER OF an application submitted by 312 Coney Island Avenue LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 16d: 1. changing from a C8-2 District to an R8A District property bounded by Ocean Parkway, Park Circle-Machate Circle, Coney Island A venue, Caton Place, and a line 150 feet easterly of East 8th Street; and 2. establishing within the proposed RSA District a C2-4 District bounded by Ocean Parkway, Park Circle-Machate Circle, Coney Island Avenue, Caton Place, and a line 150 feet easterly of East 8th Street; Borough of Brooklyn, Community District 7, as shown on a diagram (for illustrative purposes only) dated December 16, 2019, and subject to the conditions ofCEQR Declaration E-555.","https://zap-api-production.herokuapp.com/projects/P2018K0303?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018K0303
P2018K0303,312 Coney Island Ave-Caton Place,2019,334,b7a90e79-b800-ea11-a9b0-001dd8308d01,P2018K0303 - ZR - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by 312 Coney Island Avenue LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying bulk regulations for a portion of the Special Ocean Parkway District and modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area.","https://zap-api-production.herokuapp.com/projects/P2018K0303?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018K0303
P2018K0303,312 Coney Island Ave-Caton Place,2019,334,cd85d782-b800-ea11-a9bc-001dd8308ef1,P2018K0303 - ZR - BK CB7,Submitted,,,Conditional Favorable,"IN THE MATTER OF an application submitted by 312 Coney Island Avenue LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying bulk regulations for a portion of the Special Ocean Parkway District and modifying APPENDIX F for the purpose of establishing a Mandatory Inclusionary Housing area.","https://zap-api-production.herokuapp.com/projects/P2018K0303?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018K0303
P2018K0303,312 Coney Island Ave-Caton Place,2019,334,bda90e79-b800-ea11-a9b0-001dd8308d01,P2018K0303 - ZS - BK BP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by 312 Coney Island Avenue LLC pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-533 of the Zoning Resolution to waive the required number of accessory off-street parking spaces for dwelling units in a development within a Transit Zone, that includes at least 20 percent of all dwelling units as income-restricted housing units, in connection with a proposed mixed-use development on property located at 312 Coney Island Avenue (Block 5322, Lots 10 and 20), in an R8A/C2-4* District, within the Special Ocean Parkway District. * Note: The site is proposed to be rezoned by changing an existing C8-2 District to an R8A District, and establishing within the proposed R8A District a C2-4 District, under a concurrent related application for a Zoning Map change (C 200092 ZMK). Plans for this proposal are on file with the City Planning Commission and may be seen at 120 Broadway, 31st Floor, New York, NY 10271-0001.","https://zap-api-production.herokuapp.com/projects/P2018K0303?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018K0303
P2018K0303,312 Coney Island Ave-Caton Place,2019,334,ea85d782-b800-ea11-a9bc-001dd8308ef1,P2018K0303 - ZS - BK CB7,Submitted,,,Conditional Unfavorable,"IN THE MATTER OF an application submitted by 312 Coney Island A venue LLC pursuant to Sections 197-c and 201 of the New York City Charter for the grant of a special permit pursuant to Section 74-533 of the Zoning Resolution to waive the required number of accessory off-street parking spaces for dwelling units in a development within a Transit Zone, that includes at least 20 percent of all dwelling units as income-restricted housing units, in connection with a proposed mixed-use development on property located at 312 Coney Island A venue (Block 5322, Lots 10 and 20), in an RSA/C2-4 * District, within the Special Ocean Parkway District, Borough of Brooklyn, Community District 7. * Note: The site is proposed to be rezoned by changing an existing CS-2 District to an RSA District, and establishing within the proposed RSA District a C2-4 District, under a concurrent related application for a Zoning Map change (C 200092 ZMK).","https://zap-api-production.herokuapp.com/projects/P2018K0303?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018K0303
2018M0467,266 West 96th Street,2019,336,0fa345fb-5cfa-e911-a9a0-001dd8308022,2018M0467 - PP - MN CB7,Submitted,,,Conditional Favorable,"IN THE MATTER OF an application submitted by the Department of Housing, Preservation and Development (HPD), pursuant to Section 197-c of New York City Charter, for the disposition of one city-owned property (Block 1243, Lot 57), pursuant to zoning.","https://zap-api-production.herokuapp.com/projects/2018M0467?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/2018M0467
2018M0467,266 West 96th Street,2019,336,baed490d-5dfa-e911-a9a0-001dd8308022,2018M0467 - PP - MNBP,Deactivated,Conditional Unfavorable,,,"IN THE MATTER OF an application submitted by the Department of Housing, Preservation and Development (HPD), pursuant to Section 197-c of New York City Charter, for the disposition of one city-owned property (Block 1243, Lot 57), pursuant to zoning.","https://zap-api-production.herokuapp.com/projects/2018M0467?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/2018M0467
P2016Q0098,52nd Street Rezoning,2019,346,605a75bb-94f6-e911-a9b7-001dd8308fb0,P2016Q0098 - ZM - QNBP,Not Submitted,,,,"IN THE MATTER OF an application submitted by Woodside Equities, LLC. pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section Nos. 9b and 9d: 1. changing from an R5B District to an R7A District property bounded by a line 100 feet southeasterly of Roosevelt Avenue, a line midway between 52nd Street and 53rd Street, a line 100 feet northerly of Queens Boulevard and 52nd Street; and 2. establishing within the proposed R7A District a C2-3 District bounded by a line 100 feet southeasterly of Roosevelt Avenue, a line midway between 52nd Street and 53rd Street, a line 100 feet northerly of Queens Boulevard and 52nd Street; Borough of Queens, Community District 2, as shown on a diagram (for illustrative purposes only) dated October 15, 2019, and subject to the conditions of CEQR Declaration E-497.","https://zap-api-production.herokuapp.com/projects/P2016Q0098?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2016Q0098
P2016Q0098,52nd Street Rezoning,2019,346,041377af-94f6-e911-a9b7-001dd8308fb0,P2016Q0098 - ZM - QNCB2,Deactivated,,,Conditional Favorable,"IN THE MATTER OF an application submitted by Woodside Equities, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing Area, Borough of Queens, Community District 2. Matter underlined is new, to be added; Matter struck out is to be deleted; Matter within # # is defined in Section 12-10; *** indicates where unchanged text appears in the Zoning Resolution. * * * APPENDIX F Inclusionary Housing Designated Areas and Mandatory Inclusionary Housing Areas * * * QUEENS * * * Queens Community District 2 * * * Map 2 – [date of adoption] [EXISTING MAP] Inclusionary Housing designated area [PROPOSED MAP] Inclusionary Housing designated area Mandatory Inclusionary Housing Area (MIHA) - see Section 23-154(d)(3) Area 2 — [date of adoption] — MIH Program Option 1 and Option 2 Portion of Community District 2, Queens * * *","https://zap-api-production.herokuapp.com/projects/P2016Q0098?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2016Q0098
P2016Q0098,52nd Street Rezoning,2019,346,685a75bb-94f6-e911-a9b7-001dd8308fb0,P2016Q0098 - ZR - QNBP,Not Submitted,,,,"IN THE MATTER OF an application submitted by Woodside Equities, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing Area, Borough of Queens, Community District 2. Matter underlined is new, to be added; Matter struck out is to be deleted; Matter within # # is defined in Section 12-10; *** indicates where unchanged text appears in the Zoning Resolution. * * * APPENDIX F Inclusionary Housing Designated Areas and Mandatory Inclusionary Housing Areas * * * QUEENS * * * Queens Community District 2 * * * Map 2 – [date of adoption] [EXISTING MAP] Inclusionary Housing designated area [PROPOSED MAP] Inclusionary Housing designated area Mandatory Inclusionary Housing Area (MIHA) - see Section 23-154(d)(3) Area 2 — [date of adoption] — MIH Program Option 1 and Option 2 Portion of Community District 2, Queens * * *","https://zap-api-production.herokuapp.com/projects/P2016Q0098?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2016Q0098
P2016Q0098,52nd Street Rezoning,2019,346,0a1377af-94f6-e911-a9b7-001dd8308fb0,P2016Q0098 - ZR - QNCB2,Deactivated,,,Conditional Favorable,"IN THE MATTER OF an application submitted by Woodside Equities, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing Area, Borough of Queens, Community District 2. Matter underlined is new, to be added; Matter struck out is to be deleted; Matter within # # is defined in Section 12-10; *** indicates where unchanged text appears in the Zoning Resolution. * * * APPENDIX F Inclusionary Housing Designated Areas and Mandatory Inclusionary Housing Areas * * * QUEENS * * * Queens Community District 2 * * * Map 2 – [date of adoption] [EXISTING MAP] Inclusionary Housing designated area [PROPOSED MAP] Inclusionary Housing designated area Mandatory Inclusionary Housing Area (MIHA) - see Section 23-154(d)(3) Area 2 — [date of adoption] — MIH Program Option 1 and Option 2 Portion of Community District 2, Queens * * *","https://zap-api-production.herokuapp.com/projects/P2016Q0098?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2016Q0098
P2017Q0405,110-40 Saultell Avenue Rezoning,2019,351,7c312c0d-adf9-e911-a9bc-001dd8308ef1,P2017Q0405 - ZM - QNBP,Submitted,Conditional Unfavorable,,,"IN THE MATTER OF an application submitted by Tuchman Associates, LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 10b, by changing from an R6B District to an R6 District property bounded by the southwesterly and southerly boundary line of Flushing Meadow Park, a line 100 feet easterly of Saultell Avenue and its northerly prolongation, a line midway between Corona Avenue and Van Cleef Street, and Saultell Avenue and its northerly centerline prolongation, as shown on a diagram (for illustrative purposes only) dated December 16, 2019, and subject to the conditions of CEQR Declaration E-558.","https://zap-api-production.herokuapp.com/projects/P2017Q0405?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017Q0405
P2017Q0405,110-40 Saultell Avenue Rezoning,2019,351,eb265804-adf9-e911-a9a7-001dd8308060,P2017Q0405 - ZM - QNCB4,Submitted,,,Unfavorable,"IN THE MATTER OF an application submitted by Tuchman Associates, LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 10b, by changing from an R6B District to an R6 District property bounded by the southwesterly and southerly boundary line of Flushing Meadow Park, a line 100 feet easterly of Saultell Avenue and its northerly prolongation, a line midway between Corona Avenue and Van Cleef Street, and Saultell Avenue and its northerly centerline prolongation, as shown on a diagram (for illustrative purposes only) dated December 16, 2019, and subject to the conditions of CEQR Declaration E-558.","https://zap-api-production.herokuapp.com/projects/P2017Q0405?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017Q0405
P2017Q0405,110-40 Saultell Avenue Rezoning,2019,351,85312c0d-adf9-e911-a9bc-001dd8308ef1,P2017Q0405 - ZR - QNBP,Submitted,Conditional Unfavorable,,,"IN THE MATTER OF an application submitted by Tuchman Associates, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Queens, Community District 4.","https://zap-api-production.herokuapp.com/projects/P2017Q0405?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017Q0405
P2017Q0405,110-40 Saultell Avenue Rezoning,2019,351,ee265804-adf9-e911-a9a7-001dd8308060,P2017Q0405 - ZR - QNCB4,Not Submitted,,,,"IN THE MATTER OF an application submitted by Tuchman Associates, LLC, pursuant to Section 201 of the New York City Charter, for an amendment of the Zoning Resolution of the City of New York, modifying Appendix F for the purpose of establishing a Mandatory Inclusionary Housing area, Borough of Queens, Community District 4.","https://zap-api-production.herokuapp.com/projects/P2017Q0405?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2017Q0405
P2018Q0101,22-60 46th Street (MEGA) Rezoning,2019,355,a99e035e-2ef7-e911-a9a0-001dd8308022,P2018Q0101 - ZM - QNBP,Submitted,Conditional Favorable,,,"IN THE MATTER OF an application submitted by Mega Realty Holding LLC and Pancyprian Association, Inc. pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 9c: 1. changing from an R4 District to an R6A District property bounded by 45th Street, Ditmars Boulevard, 46th Street, and a line 525 feet southwesterly of Ditmars Boulevard; 2. changing from an M1-1 District to an R4 District property bounded by 45th Street, a line 100 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, a line 125 feet northeasterly of 23rd Avenue, 46th Street, Astoria Boulevard North, and 23rd Avenue; 3. changing from an M1-1 District to an R6A District property bounded by 45th Street, a line 525 feet southwesterly of Ditmars Boulevard, 46th Street, a line 125 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, and a line 100 feet northeasterly of 23rd Avenue; 4. establishing within the proposed R4 District a C2-3 District bounded by 45th Street, a line 100 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, and 23rd Avenue; and 5. establishing within the proposed R6A District a C2-3 District bounded by 45th Street, a line 275 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, and a line 100 feet northeaster of 23rd Avenue; Borough of Queens, Community District 1, as shown on a diagram (for illustrative purposes only) dated August 26, 2019, and subject to the conditions of CEQR Declaration E-549.","https://zap-api-production.herokuapp.com/projects/P2018Q0101?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018Q0101
P2018Q0101,22-60 46th Street (MEGA) Rezoning,2019,355,836d7058-2ef7-e911-a99d-001dd830809a,P2018Q0101 - ZM - QNCB1,Submitted,,,Conditional Unfavorable,"IN THE MATTER OF an application submitted by Mega Realty Holding LLC and Pancyprian Association, Inc. pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 9c: 1. changing from an R4 District to an R6A District property bounded by 45th Street, Ditmars Boulevard, 46th Street, and a line 525 feet southwesterly of Ditmars Boulevard; 2. changing from an M1-1 District to an R4 District property bounded by 45th Street, a line 100 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, a line 125 feet northeasterly of 23rd Avenue, 46th Street, Astoria Boulevard North, and 23rd Avenue; 3. changing from an M1-1 District to an R6A District property bounded by 45th Street, a line 525 feet southwesterly of Ditmars Boulevard, 46th Street, a line 125 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, and a line 100 feet northeasterly of 23rd Avenue; 4. establishing within the proposed R4 District a C2-3 District bounded by 45th Street, a line 100 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, and 23rd Avenue; and 5. establishing within the proposed R6A District a C2-3 District bounded by 45th Street, a line 275 feet northeasterly of 23rd Avenue, a line midway between 45th Street and 46th Street, and a line 100 feet northeaster of 23rd Avenue; Borough of Queens, Community District 1, as shown on a diagram (for illustrative purposes only) dated August 26, 2019, and subject to the conditions of CEQR Declaration E-549.","https://zap-api-production.herokuapp.com/projects/P2018Q0101?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/P2018Q0101
2018X0450,261 Walton Avenue,2020,356,5a534e2a-f262-ea11-a9b6-001dd8308060,2018X0450 - ZM - BX BP,Submitted,Favorable,,,"IN THE MATTER OF an application submitted by Mott Haven Gateway LLC pursuant to Sections 197-c and 201 of the New York City Charter for an amendment of the Zoning Map, Section No. 6a: 1. eliminating a Special Mixed Use District (MX-13) bounded by a line 200 feet southwesterly of East 140th Street, Walton Avenue, a line 100 feet northeasterly of East 138th Street, and Major Deegan Boulevard; 2. changing from an M1-4/R6A District to an R8A District property bounded by a line 200 feet southwesterly of East 140th Street, Walton Avenue, a line 100 feet northeasterly of East 138th Street, and Major Deegan Boulevard; and 3. establishing within the proposed R8A District a C2-4 District bounded by a line 200 feet southwesterly of East 140th Street, Walton Avenue, a line 100 feet northeasterly of East 138th Street, and Major Deegan Boulevard; as shown on a diagram (for illustrative purposes only) dated November 16, 2020, and subject to the conditions of CEQR Declaration E-590.","https://zap-api-production.herokuapp.com/projects/2018X0450?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",https://zap.planning.nyc.gov/projects/2018X0450
