project_id,project_name,cert_year,stratum,council_outcome,queue_rank,source_type,source_container_id,source_container_title,document_title,document_family,source_priority,document_url,api_url,action_code,ulurp_number,application_prefix,a_application_flag,m_report_candidate_flag,ceqr_number,document_created_at,fetch_status,fetch_http_status,fetch_error
P2003X0172,JESUP HEIGHTS APTS,2002,B,approve,1,cpc_report_nycgov_fallback,44988e5c-2533-e811-8129-1458d04d2538,Urban Development Action Area,C030198HAX CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030198.pdf,"https://zap-api-production.herokuapp.com/projects/P2003X0172?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030198HAX,C,False,False,,,success,200,
P2003X0172,JESUP HEIGHTS APTS,2002,B,approve,1,project_page,P2003X0172,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003X0172,"https://zap-api-production.herokuapp.com/projects/P2003X0172?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,,,success,200,
P2002K0183,C-O-P,2002,D,approve,2,project_page,P2002K0183,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2002K0183,"https://zap-api-production.herokuapp.com/projects/P2002K0183?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,,,success,200,
P2002K0183,C-O-P,2002,D,approve,2,cpc_report_nycgov_fallback,b8329c50-2533-e811-8129-1458d04d2538,Disposition for Residential Not Low,C020290DMK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020290.pdf,"https://zap-api-production.herokuapp.com/projects/P2002K0183?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",DM,C020290DMK,C,False,False,,,success,200,
P2003K0102,1ST AMEND BUSHWICK URP,2002,B,approve,3,cpc_report_nycgov_fallback,241df5e4-2433-e811-812e-1458d04d95c0,Urban Development Action Area,C030117HAK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030117.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0102?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030117HAK,C,False,False,02HPD026K,,success,200,
P2003K0102,1ST AMEND BUSHWICK URP,2002,B,approve,3,project_page,P2003K0102,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003K0102,"https://zap-api-production.herokuapp.com/projects/P2003K0102?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD026K,,success,200,
P2003K0102,1ST AMEND BUSHWICK URP,2002,B,approve,3,ceqr_access,02HPD026K,CEQR Access,02HPD026K,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2003K0102?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD026K,,success,200,
P2003K0102,1ST AMEND BUSHWICK URP,2002,B,approve,3,cpc_report_nycgov_fallback,231df5e4-2433-e811-812e-1458d04d95c0,Urban Renewal Plan and Amendments,C030116HUK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030116.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0102?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HU,C030116HUK,C,False,False,02HPD026K,,success,200,
P2002M0250,CLINTON URA/PARKVIEW PROJ,2002,B,approve,4,cpc_report_nycgov_fallback,03339c50-2533-e811-8129-1458d04d2538,Zoning Map Amendment,C020463ZMM CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020463.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0250?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZM,C020463ZMM,C,False,False,01HPD003M,,success,200,
P2002M0250,CLINTON URA/PARKVIEW PROJ,2002,B,approve,4,cpc_report_nycgov_fallback,04339c50-2533-e811-8129-1458d04d2538,Urban Development Action Area,C020464HAM CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020464.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0250?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C020464HAM,C,False,False,01HPD003M,,success,200,
