project_id,project_name,cert_year,stratum,council_outcome,queue_rank,source_type,source_container_id,source_container_title,document_title,document_family,source_priority,document_url,api_url,action_code,ulurp_number,application_prefix,a_application_flag,m_report_candidate_flag,ceqr_number,document_created_at,fetch_status,fetch_http_status,fetch_error
P2002M0250,CLINTON URA/PARKVIEW PROJ,2002,B,approve,4,cpc_report_nycgov_fallback,05339c50-2533-e811-8129-1458d04d2538,Urban Development Action Area,C020465HAM CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020465.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0250?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C020465HAM,C,False,False,01HPD003M,,success,200,
P2002M0250,CLINTON URA/PARKVIEW PROJ,2002,B,approve,4,project_page,P2002M0250,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2002M0250,"https://zap-api-production.herokuapp.com/projects/P2002M0250?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,01HPD003M,,success,200,
P2002M0250,CLINTON URA/PARKVIEW PROJ,2002,B,approve,4,ceqr_access,01HPD003M,CEQR Access,01HPD003M,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2002M0250?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,01HPD003M,,success,200,
P2002M0285,ENCORE WEST RESIDENCE,2002,B,approve,5,cpc_report_nycgov_fallback,0b339c50-2533-e811-8129-1458d04d2538,Urban Development Action Area,C020547HAM CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020547.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0285?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C020547HAM,C,False,False,02HPD015M,,success,200,
P2002M0285,ENCORE WEST RESIDENCE,2002,B,approve,5,project_page,P2002M0285,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2002M0285,"https://zap-api-production.herokuapp.com/projects/P2002M0285?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD015M,,success,200,
P2002M0285,ENCORE WEST RESIDENCE,2002,B,approve,5,ceqr_access,02HPD015M,CEQR Access,02HPD015M,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2002M0285?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD015M,,success,200,
P2002M0285,ENCORE WEST RESIDENCE,2002,B,approve,5,cpc_report_nycgov_fallback,0c339c50-2533-e811-8129-1458d04d2538,Urban Renewal Plan and Amendments,C020548HUM CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020548.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0285?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HU,C020548HUM,C,False,False,02HPD015M,,success,200,
P2002M0317,A KORNEGAY SENIOR HOUSING,2002,B,approve,6,cpc_report_nycgov_fallback,68ba9ce0-2433-e811-8126-1458d04dc8c8,Zoning Authorization,M850772CZAM CPC report nyc.gov fallback,cpc_report,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/850772.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0317?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZA,M850772CZAM,M,False,True,02HPD006M,,success,200,
P2002M0317,A KORNEGAY SENIOR HOUSING,2002,B,approve,6,cpc_report_nycgov_fallback,67ba9ce0-2433-e811-8126-1458d04dc8c8,Urban Development Action Area,C020612HAM CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/020612.pdf,"https://zap-api-production.herokuapp.com/projects/P2002M0317?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C020612HAM,C,False,False,02HPD006M,,success,200,
P2002M0317,A KORNEGAY SENIOR HOUSING,2002,B,approve,6,project_page,P2002M0317,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2002M0317,"https://zap-api-production.herokuapp.com/projects/P2002M0317?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD006M,,success,200,
P2002M0317,A KORNEGAY SENIOR HOUSING,2002,B,approve,6,ceqr_access,02HPD006M,CEQR Access,02HPD006M,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2002M0317?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD006M,,success,200,
P2003M0075,ISLA NENA APTS,2002,B,approve,7,cpc_report_nycgov_fallback,e4e49656-2533-e811-8129-1458d04d2538,Urban Development Action Area,C030054HAM CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030054.pdf,"https://zap-api-production.herokuapp.com/projects/P2003M0075?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030054HAM,C,False,False,02HPD027M,,success,200,
P2003M0075,ISLA NENA APTS,2002,B,approve,7,project_page,P2003M0075,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003M0075,"https://zap-api-production.herokuapp.com/projects/P2003M0075?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD027M,,success,200,
P2003M0075,ISLA NENA APTS,2002,B,approve,7,ceqr_access,02HPD027M,CEQR Access,02HPD027M,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2003M0075?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,02HPD027M,,success,200,
P2003X0434,PALACIO DEL SOL,2003,B,approve,8,cpc_report_nycgov_fallback,ea0612ea-2433-e811-8129-1458d04d2538,Urban Development Action Area,C030533HAX CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030533.pdf,"https://zap-api-production.herokuapp.com/projects/P2003X0434?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030533HAX,C,False,False,88-087X,,success,200,
P2003X0434,PALACIO DEL SOL,2003,B,approve,8,project_page,P2003X0434,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003X0434,"https://zap-api-production.herokuapp.com/projects/P2003X0434?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,88-087X,,success,200,
P2003X0434,PALACIO DEL SOL,2003,B,approve,8,ceqr_access,88-087X,CEQR Access,88-087X,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2003X0434?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,88-087X,,success,200,
P2003X0435,HONEYWELL AVE APTS,2003,B,approve,9,cpc_report_nycgov_fallback,eb0612ea-2433-e811-8129-1458d04d2538,Urban Development Action Area,C030534HAX CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030534.pdf,"https://zap-api-production.herokuapp.com/projects/P2003X0435?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030534HAX,C,False,False,88-087X,,success,200,
P2003X0435,HONEYWELL AVE APTS,2003,B,approve,9,project_page,P2003X0435,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003X0435,"https://zap-api-production.herokuapp.com/projects/P2003X0435?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,88-087X,,success,200,
P2003X0435,HONEYWELL AVE APTS,2003,B,approve,9,ceqr_access,88-087X,CEQR Access,88-087X,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2003X0435?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,88-087X,,success,200,
P2004X0047,UNIVERSITY SENIOR HOUSING,2003,B,approve,10,cpc_report_nycgov_fallback,59b60af0-2433-e811-8129-1458d04d2538,Urban Development Action Area,C040060HAX CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040060.pdf,"https://zap-api-production.herokuapp.com/projects/P2004X0047?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C040060HAX,C,False,False,,,success,200,
P2004X0047,UNIVERSITY SENIOR HOUSING,2003,B,approve,10,project_page,P2004X0047,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2004X0047,"https://zap-api-production.herokuapp.com/projects/P2004X0047?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,,,success,200,
P2003K0136,LITTLE ROCK MANOR,2003,B,approve,11,cpc_report_nycgov_fallback,bce49656-2533-e811-8129-1458d04d2538,Urban Development Action Area,C030152HAK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030152.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0136?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030152HAK,C,False,False,,,success,200,
P2003K0136,LITTLE ROCK MANOR,2003,B,approve,11,project_page,P2003K0136,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003K0136,"https://zap-api-production.herokuapp.com/projects/P2003K0136?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,,,success,200,
P2003K0271,GATES GARDENS SR HSG,2003,B,approve,12,cpc_report_nycgov_fallback,321df5e4-2433-e811-812e-1458d04d95c0,Urban Development Action Area,C030315HAK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030315.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0271?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C030315HAK,C,False,False,,,success,200,
P2003K0271,GATES GARDENS SR HSG,2003,B,approve,12,project_page,P2003K0271,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003K0271,"https://zap-api-production.herokuapp.com/projects/P2003K0271?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,,,success,200,
P2003K0418,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,13,project_page,P2003K0418,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2003K0418,"https://zap-api-production.herokuapp.com/projects/P2003K0418?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,03DME016K,,success,200,
P2003K0418,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,13,ceqr_access,03DME016K,CEQR Access,03DME016K,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2003K0418?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,03DME016K,,success,200,
P2003K0418,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,13,cpc_report_nycgov_fallback,401df5e4-2433-e811-812e-1458d04d95c0,Change in City Map,C030514MMK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030514.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0418?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",MM,C030514MMK,C,False,False,03DME016K,,success,200,
P2003K0418,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,13,cpc_report_nycgov_fallback,411df5e4-2433-e811-812e-1458d04d95c0,Change in City Map,C030515MMK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030515.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0418?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",MM,C030515MMK,C,False,False,03DME016K,,success,200,
P2003K0418,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,13,cpc_report_nycgov_fallback,421df5e4-2433-e811-812e-1458d04d95c0,Change in City Map,C030516MMK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030516.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0418?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",MM,C030516MMK,C,False,False,03DME016K,,success,200,
P2003K0418,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,13,cpc_report_nycgov_fallback,431df5e4-2433-e811-812e-1458d04d95c0,Change in City Map,C030517MMK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/030517.pdf,"https://zap-api-production.herokuapp.com/projects/P2003K0418?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",MM,C030517MMK,C,False,False,03DME016K,,success,200,
P2004K0080,344-348 BERGEN ST,2003,B,approve,14,cpc_report_nycgov_fallback,f80612ea-2433-e811-8129-1458d04d2538,Urban Development Action Area,C040114HAK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040114.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0080?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HA,C040114HAK,C,False,False,,,success,200,
P2004K0080,344-348 BERGEN ST,2003,B,approve,14,project_page,P2004K0080,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2004K0080,"https://zap-api-production.herokuapp.com/projects/P2004K0080?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,fd0612ea-2433-e811-8129-1458d04d2538,Zoning Special Permit,M000592AZSK CPC report nyc.gov fallback,cpc_report,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/000592.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,M000592AZSK,M,False,True,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,040712ea-2433-e811-8129-1458d04d2538,Zoning Special Permit,M860689BZSK CPC report nyc.gov fallback,cpc_report,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/860689.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,M860689BZSK,M,False,True,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,050712ea-2433-e811-8129-1458d04d2538,Zoning Special Permit,M930481EZSK CPC report nyc.gov fallback,cpc_report,1,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/930481.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,M930481EZSK,M,False,True,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,fe0612ea-2433-e811-8129-1458d04d2538,Zoning Map Amendment,C040171ZMK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040171.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZM,C040171ZMK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,6f988e5c-2533-e811-8129-1458d04d2538,Disposition of Urban Renewal Site,C040177HDK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040177.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HD,C040177HDK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,70988e5c-2533-e811-8129-1458d04d2538,Disposition of Urban Renewal Site,C040178HDK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040178.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HD,C040178HDK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,71988e5c-2533-e811-8129-1458d04d2538,Disposition of Urban Renewal Site,C040179HDK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040179.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HD,C040179HDK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,73988e5c-2533-e811-8129-1458d04d2538,Zoning Special Permit,C040181ZSK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040181.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,C040181ZSK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,74988e5c-2533-e811-8129-1458d04d2538,Zoning Special Permit,C040182ZSK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040182.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,C040182ZSK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,75988e5c-2533-e811-8129-1458d04d2538,Zoning Special Permit,C040183ZSK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040183.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,C040183ZSK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,020712ea-2433-e811-8129-1458d04d2538,Zoning Special Permit,C040184ZSK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040184.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZS,C040184ZSK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,ff0612ea-2433-e811-8129-1458d04d2538,Zoning Text Amendment,N040172ZRK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040172.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",ZR,N040172ZRK,N,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,6e988e5c-2533-e811-8129-1458d04d2538,Urban Renewal Designation,N040176HGK CPC report nyc.gov fallback,cpc_report,3,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040176.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HG,N040176HGK,N,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,project_page,P2004K0140,ZAP project page,ZAP project page,project_page,8,https://zap.planning.nyc.gov/projects/P2004K0140,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,ceqr_access,03DME016K,CEQR Access,03DME016K,ceqr_access,9,https://a002-ceqraccess.nyc.gov/ceqr/,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",,,,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,000712ea-2433-e811-8129-1458d04d2538,Urban Renewal Plan and Amendments,C040173HUK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040173.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HU,C040173HUK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,010712ea-2433-e811-8129-1458d04d2538,Urban Renewal Plan and Amendments,C040174HUK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040174.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HU,C040174HUK,C,False,False,03DME016K,,success,200,
P2004K0140,DOWNTOWN BKLYN DEVELOPMENT,2003,B,approve_w_mods,15,cpc_report_nycgov_fallback,6d988e5c-2533-e811-8129-1458d04d2538,Urban Renewal Plan and Amendments,C040175HUK CPC report nyc.gov fallback,cpc_report,10,https://www.nyc.gov/assets/planning/download/pdf/about/cpc/040175.pdf,"https://zap-api-production.herokuapp.com/projects/P2004K0140?include=actions,milestones,dispositions,dispositions.action,users,assignments.user,packages,artifacts",HU,C040175HUK,C,False,False,03DME016K,,success,200,
