document_id,application_number,source_text_sha256,reason
00ed10baac4a6f0eb4c2,C 770200 HDX,7ef19a71e04edf4464eeabf1aaad51519ff0635a9fb2537218eeccfbaf3e6dbd,Evidence inspected during 2026-09-14 rule development
01ba414d54b410d4ecba,C 760002 MFY,18076e415c1c648d74ae51fc944559a5f2aee1561fce2a6d43260c48bc1c694b,Evidence inspected during 2026-09-14 rule development
026edcbf51da272158dd,C 800410 PER,f62e8fa7427692700ccc844f5bf296decadc5eacc88eb842808e991d68e338a3,Evidence inspected during 2026-09-14 rule development
029be0fc1c5bd75880ca,C 800324 ZMM,e8c0eca1767c99a9b703f7861c4ab2f37a65798bb10e9feead0c68fa7750013a,Evidence inspected during 2026-09-14 rule development
02a95114a5986427a802,C 100469 MMK,f00f34c2dd4850628fb4507321b73033e422dd253844c47aedaaadc0370330ce,Evidence inspected during 2026-09-14 rule development
03caea1f2170e981b9cb,C 800243 MMK,6e345a6d25a262be6a6cd8ae4f9cd54e17635443793e0062ca9d3f319e5506f9,Evidence inspected during 2026-09-14 rule development
0602b55ce58a45cf9a9e,C 890680 PPK,0adc939e8e729094f55ebb916177e6ba1d016ba9f3c05cdc421b1f35dd3f2ed8,Evidence inspected during 2026-09-14 rule development
07eca0938d67b3d5a0af,C 900271 PPK,ba9a2018a8b4ca39e4a7511ed22b6a65125a1ddab1324440948ad16ad7cd829d,Evidence inspected during 2026-09-14 rule development
08e625f9ec68952c92c7,C 990588 ZSM,28c307575ee3c9f9ebc9591aaa770b6bc8433e32408cc89ae066b46fc46da659,Evidence inspected during 2026-09-14 rule development
09bd10b3b008fb23db23,C 010560 ZSM,2cd5df057dc967eddb0cbbaf18873a81e8431b7e11d78b346618db93e875fe21,Evidence inspected during 2026-09-14 rule development
10664ac691c1474764c7,C 800624 PPK,c4cdcefe793332a58120086692d55db7a5fcb28489ddd9b606808dde67e9f125,Evidence inspected during 2026-09-14 rule development
177389fb395ee1fea19b,C 900601 PLX,686d60e80cfb1ed80b321d1fe694a6e6cdfa44635d0a3f891415f5f520101131,Evidence inspected during 2026-09-14 rule development
17e814caa50814671138,C 900120 PPX,46238dca627329848048c05bcce42afde638598b28151d0e57c7d9b508ed2e43,Evidence inspected during 2026-09-14 rule development
2307317562424b4e9730,C 200158 ZMK,a4b1d9bf93069b0d90dde0048b0a2df0ae1f2fcfbd06d59f8b3d98cb5bb701ce,Evidence inspected during 2026-09-14 rule development
305a9c8acc6eb22d691c,C 100180 PCM,1d1716e66e9a7670430774f34f6b08d665dfd4ac5d45c018e1c96c3167f2b6f9,Evidence inspected during 2026-09-14 rule development
3e78a68760eb2dd570f9,C 760202 TCM,6d19a6f5b95504452190290a260d9afadc9a5521b0b901b8d65036fe2214762b,Evidence inspected during 2026-09-14 rule development
473c7014a38663534e20,C 070579 ZMK,408f58fdab8c464638512393bf161fcfad293607c194b147e6dd65136015740e,Evidence inspected during 2026-09-14 rule development
76b508f34f1c0447df8e,C 780349 TCM,9d3cd0ab4ddbf7a3f53f18e9d1c7775660bf6bfd0e4fd869008421addbf2bcfb,Source example used to develop vote alignment or abstention rules
76feb1b50674a3c02d0a,C 760123 ZSX,4c80dbe6cf43fd2e5b8e1322bf29579d35f7c3f741d0196b38cd952f134b697e,Evidence inspected during 2026-09-14 rule development
80ff4639d2f2e8d3e66b,C 200140 PPM,1036843d04b106ef4668899f3f1e6a8f40f6ebe8514c123c48b66b20a62fb4fa,Evidence inspected during 2026-09-14 rule development
8c347efd6acccaa8c04f,C 160174 ZSR,32d467a6ea8319612b6cbcb79730f503191a3cd3f652eb6ce36b41db940c2b32,Source example used to develop vote alignment or abstention rules
983c23a901bc2d5a3fe0,C 020236 ZSR,f1b8c3eae58117baff2ffc440a33ca9a9208341db55169f0654832c97f0bb6b3,Companion hearing evidence inspected to fix individual speaker counts
b59afa73b9196fa8908c,C 010311 ZSM,cfe67fe6d17fe0c7469327153261af8c2880356db680a01c5227e974cf40d270,Evidence inspected during 2026-09-14 rule development
b672a311174c6f73d046,C 990695 PQQ,df3aeb14ebf696fc5cac7b90c0b38dafceacaa01407e5dbccf8eccf48d88d416,Evidence inspected during 2026-09-14 rule development
c195c2ae39ff3c5cdfda,C 190043 MMX,408bc1b359ed32e1529cad230e1996f9eb0bcb59601cdea83055e66a499516cc,Evidence inspected during 2026-09-14 rule development
c27ee1f01580ac7558f6,C 100437 ZMM,e50e0543eaf1112203ec6f693ea4f1c4c13444dfb24f012b333e5ef77e272620,Evidence inspected during 2026-09-14 rule development
c84818fa582d160a6e20,C 190087 MMX,b0e94c8b7026a033b8c6cf6a42e5e8648c24596677389d2cf450d9c22b6eb9ee,Evidence inspected during 2026-09-14 rule development
